age,blockNum,center,colormap,completionCode,correct,correlation,currentOffsets,distance,education,engagementCorrect,gender,generationTime,modelChoice,noiseAmplitude,noisePerturb,noisePerturbCount,prolificId,responseTime,selectedDecoyType,selection,stimulusCorrect,stimulusNum,trialNum,vis,subjectid
35-44,1,0.098716,Hue-5 with Wave-3,,0,0,43.48809406996964,0.0754116844418864,high_school,3,male,1346,0,1.1,1.9,1,5a381de00006450001bf2691,18052,-1,5,75,1,1,fieldSmooth,1
35-44,1,0.098716,Hue-5 with Wave-3,,1,0,43.48809406996964,0.0790680335264571,high_school,3,male,1038,2,1.1,1.9,1,5a381de00006450001bf2691,4977,1,2,75,2,2,fieldSmooth,1
35-44,2,0.098716,Hue-7 with Wave-9,,1,0,48.9271395181075,0.1216564098251199,high_school,3,male,2077,2,1.1,1.9,1,5a381de00006450001bf2691,10287,1,4,75,3,1,fieldSmooth,1
35-44,2,0.098716,Hue-7 with Wave-9,,1,0,48.9271395181075,0.117302064798291,high_school,3,male,1029,1,1.1,1.9,1,5a381de00006450001bf2691,6074,0,1,75,4,2,fieldSmooth,1
35-44,3,0.098716,Hue-7 with Wave-8,,1,0,48.9271395181075,0.0582462086814396,high_school,3,male,2103,1,1.1,1.9,1,5a381de00006450001bf2691,12805,0,5,75,5,1,fieldSmooth,1
35-44,3,0.098716,Hue-7 with Wave-8,,1,0,48.9271395181075,0.0763654491532991,high_school,3,male,1178,2,1.1,1.9,1,5a381de00006450001bf2691,6589,1,3,75,6,2,fieldSmooth,1
35-44,4,0.098716,Hue-7 with Wave-5,,1,0,48.9271395181075,0.0900162516298092,high_school,3,male,1994,2,1.1,1.9,1,5a381de00006450001bf2691,3991,1,2,75,7,1,fieldSmooth,1
35-44,4,0.098716,Hue-7 with Wave-5,,1,0,48.9271395181075,0.0496113002198905,high_school,3,male,1055,2,1.1,1.9,1,5a381de00006450001bf2691,4219,1,6,75,8,2,fieldSmooth,1
35-44,5,0.098716,Hue-0 with Wave-3,,1,0,0.0,0.0576584385138845,high_school,3,male,1757,2,1.1,1.9,1,5a381de00006450001bf2691,9047,1,1,75,9,1,fieldSmooth,1
35-44,5,0.098716,Hue-0 with Wave-3,,1,0,0.0,0.1140144316210895,high_school,3,male,1052,1,1.1,1.9,1,5a381de00006450001bf2691,5863,0,5,75,10,2,fieldSmooth,1
35-44,6,0.098716,Hue-5 with Wave-7,,1,0,43.48809406996964,0.0880089073704449,high_school,3,male,1991,2,1.1,1.9,1,5a381de00006450001bf2691,13081,1,6,75,11,1,fieldSmooth,1
35-44,6,0.098716,Hue-5 with Wave-7,,1,0,43.48809406996964,0.075563198054865,high_school,3,male,966,2,1.1,1.9,1,5a381de00006450001bf2691,4428,1,3,75,12,2,fieldSmooth,1
35-44,7,0.098716,Hue-3 with Wave-3,,1,0,0.7178951735859784,0.0499267245508108,high_school,3,male,1929,2,1.1,1.9,1,5a381de00006450001bf2691,7756,1,4,75,13,1,fieldSmooth,1
35-44,7,0.098716,Hue-3 with Wave-3,,1,0,0.7178951735859784,0.0817289061033625,high_school,3,male,1075,2,1.1,1.9,1,5a381de00006450001bf2691,13519,1,6,75,14,2,fieldSmooth,1
35-44,8,0.098716,Hue-7 with Wave-7,,0,0,48.9271395181075,0.0677092152794661,high_school,3,male,1870,0,1.1,1.9,1,5a381de00006450001bf2691,7559,-1,1,75,15,1,fieldSmooth,1
35-44,8,0.098716,Hue-7 with Wave-7,,1,0,48.9271395181075,0.086298514876018,high_school,3,male,986,2,1.1,1.9,1,5a381de00006450001bf2691,8218,1,4,75,16,2,fieldSmooth,1
35-44,9,0.098716,Hue-0 with Wave-7,,1,0,0.0,0.0752939904190344,high_school,3,male,2023,2,1.1,1.9,1,5a381de00006450001bf2691,4584,1,2,75,17,1,fieldSmooth,1
35-44,9,0.098716,Hue-0 with Wave-7,,1,0,0.0,0.0728447102872454,high_school,3,male,1113,2,1.1,1.9,1,5a381de00006450001bf2691,5067,1,1,75,18,2,fieldSmooth,1
35-44,10,0.098716,Hue-0 with Wave-4,,1,0,0.0,0.1614821018778893,high_school,3,male,1047,2,1.1,1.9,1,5a381de00006450001bf2691,7302,1,5,75,19,1,fieldSmooth,1
35-44,10,0.098716,Hue-0 with Wave-4,,1,0,0.0,0.0748021380960584,high_school,3,male,1022,2,1.1,1.9,1,5a381de00006450001bf2691,7652,1,3,75,20,2,fieldSmooth,1
35-44,11,0.098716,Hue-3 with Wave-6,,1,0,0.7178951735859784,0.0637360884210933,high_school,3,male,1989,2,1.1,1.9,1,5a381de00006450001bf2691,4725,1,5,75,21,1,fieldSmooth,1
35-44,11,0.098716,Hue-3 with Wave-6,,1,0,0.7178951735859784,0.0458962398398316,high_school,3,male,1079,2,1.1,1.9,1,5a381de00006450001bf2691,4648,1,1,75,22,2,fieldSmooth,1
35-44,12,0.098716,Hue-0 with Wave-8,,1,0,0.0,0.044757392864226,high_school,3,male,1778,2,1.1,1.9,1,5a381de00006450001bf2691,6990,1,6,75,23,1,fieldSmooth,1
35-44,12,0.098716,Hue-0 with Wave-8,,1,0,0.0,0.0966248384651146,high_school,3,male,1026,2,1.1,1.9,1,5a381de00006450001bf2691,9586,1,6,75,24,2,fieldSmooth,1
35-44,13,0.098716,Hue-3 with Wave-4,,1,0,0.7178951735859784,0.1109620311349742,high_school,3,male,1940,2,1.1,1.9,1,5a381de00006450001bf2691,5600,1,1,75,25,1,fieldSmooth,1
35-44,13,0.098716,Hue-3 with Wave-4,,1,0,0.7178951735859784,0.0713588758407002,high_school,3,male,1017,2,1.1,1.9,1,5a381de00006450001bf2691,3578,1,2,75,26,2,fieldSmooth,1
35-44,15,0.098716,Hue-7 with Wave-3,,1,0,48.9271395181075,0.0930887882851698,high_school,3,male,1873,2,1.1,1.9,1,5a381de00006450001bf2691,12521,1,4,75,27,1,fieldSmooth,1
35-44,15,0.098716,Hue-7 with Wave-3,,1,0,48.9271395181075,0.052030554505982,high_school,3,male,1070,2,1.1,1.9,1,5a381de00006450001bf2691,14696,1,2,75,28,2,fieldSmooth,1
35-44,16,0.098716,Hue-5 with Wave-0,,1,0,43.48809406996964,0.0721268321988787,high_school,3,male,2047,2,1.1,1.9,1,5a381de00006450001bf2691,8224,1,5,75,29,1,fieldSmooth,1
35-44,16,0.098716,Hue-5 with Wave-0,,1,0,43.48809406996964,0.1029469100382042,high_school,3,male,870,2,1.1,1.9,1,5a381de00006450001bf2691,27808,1,1,75,30,2,fieldSmooth,1
