colormap,currentOffsets,exp_distance
Hue-3 with Wave-9,21.02878443,0.25
Hue-3 with Wave-9,21.02878443,0.25
Hue-5 with Wave-6,17.77386265,0.35
Hue-5 with Wave-9,17.77386265,0.15
Hue-7 with Wave-4,20.42830028,0.25
Hue-3 with Wave-6,20.31696601,0.2
Hue-5 with Wave-3,59.57774965,0.1
Hue-5 with Wave-6,59.57774965,0.35
Hue-7 with Wave-0,35.77762991,0.1
Hue-7 with Wave-1,35.77762991,0.1
Hue-3 with Wave-6,32.08102414,0.2
Hue-3 with Wave-6,32.08102414,0.25
Hue-5 with Wave-9,6.811468107,0.1
Hue-7 with Wave-5,3.890915797,0.25
Hue-7 with Wave-5,3.890915797,0.3
Hue-3 with Wave-7,12.60724983,0.1
Hue-5 with Wave-6,53.25653884,0.35
Hue-5 with Wave-8,53.25653884,0.2
Hue-7 with Wave-4,55.68182468,0.3
Hue-7 with Wave-5,55.68182468,0.2
Hue-3 with Wave-4,33.14263033,0.3
Hue-3 with Wave-8,33.14263033,0.1
Hue-5 with Wave-1,33.44935551,0.1
Hue-5 with Wave-3,33.44935551,0.15
Hue-7 with Wave-0,35.59043513,0.2
Hue-3 with Wave-3,38.36534121,
Hue-5 with Wave-7,3.646108779,0.35
Hue-5 with Wave-8,3.646108779,0.15
Hue-7 with Wave-9,42.59531488,0.15
Hue-7 with Wave-9,42.59531488,0.2
Hue-3 with Wave-2,8.808319342,0.3
Hue-3 with Wave-3,8.808319342,0.1
Hue-5 with Wave-0,15.35208673,0.1
Hue-5 with Wave-5,15.35208673,0.15
Hue-7 with Wave-5,29.32869053,0.2
Hue-3 with Wave-3,31.48628492,0.35
Hue-3 with Wave-9,31.48628492,0.35
Hue-5 with Wave-8,28.64085885,0.1
Hue-5 with Wave-9,28.64085885,0.35
Hue-7 with Wave-3,50.09313727,0.25
Hue-3 with Wave-7,54.64442899,0.3
Hue-3 with Wave-8,54.64442899,0.3
Hue-5 with Wave-0,45.22366053,0.25
Hue-7 with Wave-0,34.38775395,0.2
Hue-7 with Wave-2,34.38775395,0.2
Hue-3 with Wave-5,13.06496737,0.35
Hue-3 with Wave-7,13.06496737,0.2
Hue-5 with Wave-1,22.78291482,0.3
Hue-7 with Wave-3,46.34786175,0.3
Hue-7 with Wave-7,46.34786175,0.2
Hue-3 with Wave-4,6.321070855,0.2
Hue-3 with Wave-6,6.321070855,0.1
Hue-5 with Wave-8,16.4494985,0.1
Hue-7 with Wave-4,24.19482819,0.3
Hue-7 with Wave-9,24.19482819,0.15
Hue-3 with Wave-1,53.4757756,0.25
Hue-5 with Wave-5,25.6725047,0.2
Hue-5 with Wave-7,25.6725047,0.25
Hue-7 with Wave-3,40.48268229,0.2
Hue-7 with Wave-3,40.48268229,0.3
Hue-3 with Wave-2,17.66627685,0.3
Hue-5 with Wave-4,35.13995321,0.15
Hue-5 with Wave-6,35.13995321,0.25
Hue-7 with Wave-8,15.67051573,0.15
Hue-7 with Wave-9,15.67051573,0.35
Hue-3 with Wave-4,19.46739171,0.35
Hue-3 with Wave-5,19.46739171,0.15
Hue-5 with Wave-5,58.79516303,0.3
Hue-5 with Wave-8,58.79516303,0.3
Hue-7 with Wave-9,3.032238181,0.3
Hue-3 with Wave-2,51.10870089,0.3
Hue-3 with Wave-5,51.10870089,0.35
Hue-5 with Wave-7,3.29269907,0.2
Hue-5 with Wave-7,3.29269907,0.3
Hue-7 with Wave-2,34.53418022,0.3
Hue-3 with Wave-0,56.61825046,0.15
Hue-3 with Wave-1,56.61825046,0.2
Hue-5 with Wave-9,35.16868085,0.1
Hue-5 with Wave-9,35.16868085,0.3
Hue-7 with Wave-0,24.40694689,0.25
