age,blockNum,center,colormap,completionCode,correct,correlation,currentOffsets,distance,education,engagementCorrect,gender,generationTime,modelChoice,noiseAmplitude,noisePerturb,noisePerturbCount,prolificId,responseTime,selectedDecoyType,selection,stimulusCorrect,stimulusNum,trialNum,vis,subjectid,categorization,ciede2000_discriminative_power,contrast_sensitivity_discriminative_power,hue_discriminative_power,luminance_variation,lab_length,color_name_variation,chromatic_variation
35-44,1,0.098716,Hue-5 with Wave-3,,0,0,43.48809406996964,0.0754116844418864,high_school,3,male,1346,0,1.1,1.9,1,5a381de00006450001bf2691,18052,-1,5,75,1,1,fieldSmooth,1,481.278,151.640,260.012,222.396,221.229,NaN,2.835,211.958
35-44,1,0.098716,Hue-5 with Wave-3,,1,0,43.48809406996964,0.0790680335264571,high_school,3,male,1038,2,1.1,1.9,1,5a381de00006450001bf2691,4977,1,2,75,2,2,fieldSmooth,1,481.278,151.640,260.012,222.396,221.229,NaN,2.835,211.958
35-44,2,0.098716,Hue-7 with Wave-9,,1,0,48.9271395181075,0.1216564098251199,high_school,3,male,2077,2,1.1,1.9,1,5a381de00006450001bf2691,10287,1,4,75,3,1,fieldSmooth,1,1383.719,210.842,337.417,298.246,645.660,NaN,5.585,383.323
35-44,2,0.098716,Hue-7 with Wave-9,,1,0,48.9271395181075,0.117302064798291,high_school,3,male,1029,1,1.1,1.9,1,5a381de00006450001bf2691,6074,0,1,75,4,2,fieldSmooth,1,1383.719,210.842,337.417,298.246,645.660,NaN,5.585,383.323
35-44,3,0.098716,Hue-7 with Wave-8,,1,0,48.9271395181075,0.0582462086814396,high_school,3,male,2103,1,1.1,1.9,1,5a381de00006450001bf2691,12805,0,5,75,5,1,fieldSmooth,1,1367.338,204.502,335.468,285.366,597.676,NaN,7.534,340.786
35-44,3,0.098716,Hue-7 with Wave-8,,1,0,48.9271395181075,0.0763654491532991,high_school,3,male,1178,2,1.1,1.9,1,5a381de00006450001bf2691,6589,1,3,75,6,2,fieldSmooth,1,1367.338,204.502,335.468,285.366,597.676,NaN,7.534,340.786
35-44,4,0.098716,Hue-7 with Wave-5,,1,0,48.9271395181075,0.0900162516298092,high_school,3,male,1994,2,1.1,1.9,1,5a381de00006450001bf2691,3991,1,2,75,7,1,fieldSmooth,1,1017.101,187.245,301.978,292.341,359.671,NaN,5.351,328.696
35-44,4,0.098716,Hue-7 with Wave-5,,1,0,48.9271395181075,0.0496113002198905,high_school,3,male,1055,2,1.1,1.9,1,5a381de00006450001bf2691,4219,1,6,75,8,2,fieldSmooth,1,1017.101,187.245,301.978,292.341,359.671,NaN,5.351,328.696
35-44,6,0.098716,Hue-5 with Wave-7,,1,0,43.48809406996964,0.0880089073704449,high_school,3,male,1991,2,1.1,1.9,1,5a381de00006450001bf2691,13081,1,6,75,11,1,fieldSmooth,1,749.262,184.327,314.465,221.635,507.167,NaN,3.872,310.683
35-44,6,0.098716,Hue-5 with Wave-7,,1,0,43.48809406996964,0.075563198054865,high_school,3,male,966,2,1.1,1.9,1,5a381de00006450001bf2691,4428,1,3,75,12,2,fieldSmooth,1,749.262,184.327,314.465,221.635,507.167,NaN,3.872,310.683
