age,block,categorization,center,colormap,completionCode,converged,correct,correlation,currentOffsets,distance,education,engagementCorrect,expdistance,gender,generationTime,iterations,prolificId,requestedDistance,responseTime,selection,stimulus,stimulusCorrect,subjectid,trialNum,keep,ciede2000_discriminative_power,hue_discriminative_power,luminance_variation,lab_length,color_name_variation,chromatic_variation
25-34,1,945.056,0.03,Hue-7 with Wave-1,,True,0,0.07,20.428300276786985,0.1053291097189547,bachelor,6,0.1,male,125,2,5c50046b2b89f500015e5f6b,0.1,49714,3,1,67,1,,true,134.778,283.542,72.393,286.323,4.719,121.275
25-34,1,945.056,0.07,Hue-7 with Wave-1,,True,0,0.07,20.428300276786985,0.1929083321791633,bachelor,6,0.2,male,420,17,5c50046b2b89f500015e5f6b,0.2,5727,1,2,67,1,,true,134.778,283.542,72.393,286.323,4.719,121.275
25-34,1,945.056,0.165,Hue-7 with Wave-1,,True,1,0.07,20.428300276786985,0.3451169080872697,bachelor,6,0.35,male,189,6,5c50046b2b89f500015e5f6b,0.35,2239,4,3,67,1,,true,134.778,283.542,72.393,286.323,4.719,121.275
25-34,1,945.056,0.07,Hue-7 with Wave-1,,True,1,0.07,20.428300276786985,0.193285588011001,bachelor,6,0.2,male,190,6,5c50046b2b89f500015e5f6b,0.2,1540,2,4,67,1,,true,134.778,283.542,72.393,286.323,4.719,121.275
25-34,1,945.056,0.14,Hue-7 with Wave-1,,True,1,0.07,20.428300276786985,0.2939409471130692,bachelor,6,0.3,male,457,16,5c50046b2b89f500015e5f6b,0.3,1726,3,5,67,1,,true,134.778,283.542,72.393,286.323,4.719,121.275
25-34,1,945.056,0.1,Hue-7 with Wave-1,,True,1,0.07,20.428300276786985,0.2550975351631363,bachelor,6,0.25,male,521,23,5c50046b2b89f500015e5f6b,0.25,6752,4,6,67,1,,true,134.778,283.542,72.393,286.323,4.719,121.275
25-34,1,945.056,0.1,Hue-7 with Wave-1,,True,1,0.07,20.428300276786985,0.2405628350291425,bachelor,6,0.25,male,107,3,5c50046b2b89f500015e5f6b,0.25,3227,4,7,67,1,,true,134.778,283.542,72.393,286.323,4.719,121.275
25-34,1,945.056,0.14,Hue-7 with Wave-1,,True,1,0.07,20.428300276786985,0.2960935010803667,bachelor,6,0.3,male,212,7,5c50046b2b89f500015e5f6b,0.3,8100,1,8,67,1,,true,134.778,283.542,72.393,286.323,4.719,121.275
25-34,1,945.056,0.05,Hue-7 with Wave-1,,True,1,0.07,20.428300276786985,0.1404416764689922,bachelor,6,0.15,male,161,5,5c50046b2b89f500015e5f6b,0.15,2102,4,9,67,1,,true,134.778,283.542,72.393,286.323,4.719,121.275
25-34,1,945.056,0.05,Hue-7 with Wave-1,,True,1,0.07,20.428300276786985,0.1516747008972019,bachelor,6,0.15,male,84,1,5c50046b2b89f500015e5f6b,0.15,4006,3,10,67,1,,true,134.778,283.542,72.393,286.323,4.719,121.275
25-34,1,945.056,0.03,Hue-7 with Wave-1,,True,1,0.07,20.428300276786985,0.1069549018264374,bachelor,6,0.1,male,188,6,5c50046b2b89f500015e5f6b,0.1,11433,4,11,67,1,,true,134.778,283.542,72.393,286.323,4.719,121.275
25-34,1,945.056,0.165,Hue-7 with Wave-1,,True,1,0.07,20.428300276786985,0.3497006846336561,bachelor,6,0.35,male,178,6,5c50046b2b89f500015e5f6b,0.35,1799,4,12,67,1,,true,134.778,283.542,72.393,286.323,4.719,121.275
25-34,2,397.551,0.1,Hue-5 with Wave-6,,True,1,0.07,17.773862652939997,0.2505252829996884,bachelor,6,0.25,male,87,1,5c50046b2b89f500015e5f6b,0.25,5299,3,14,67,1,,true,170.079,224.730,434.842,362.857,3.452,226.395
25-34,2,397.551,0.165,Hue-5 with Wave-6,,True,1,0.07,17.773862652939997,0.3568658699683323,bachelor,6,0.35,male,147,4,5c50046b2b89f500015e5f6b,0.35,2221,3,15,67,1,,true,170.079,224.730,434.842,362.857,3.452,226.395
25-34,2,397.551,0.14,Hue-5 with Wave-6,,True,1,0.07,17.773862652939997,0.2938789743464741,bachelor,6,0.3,male,231,9,5c50046b2b89f500015e5f6b,0.3,1712,1,16,67,1,,true,170.079,224.730,434.842,362.857,3.452,226.395
25-34,2,397.551,0.03,Hue-5 with Wave-6,,True,1,0.07,17.773862652939997,0.0938636258178407,bachelor,6,0.1,male,78,1,5c50046b2b89f500015e5f6b,0.1,2306,1,17,67,1,,true,170.079,224.730,434.842,362.857,3.452,226.395
25-34,2,397.551,0.05,Hue-5 with Wave-6,,True,1,0.07,17.773862652939997,0.1426671744069715,bachelor,6,0.15,male,80,1,5c50046b2b89f500015e5f6b,0.15,3533,1,18,67,1,,true,170.079,224.730,434.842,362.857,3.452,226.395
25-34,2,397.551,0.05,Hue-5 with Wave-6,,True,0,0.07,17.773862652939997,0.1468817083566462,bachelor,6,0.15,male,104,2,5c50046b2b89f500015e5f6b,0.15,20489,1,19,67,1,,true,170.079,224.730,434.842,362.857,3.452,226.395
25-34,2,397.551,0.03,Hue-5 with Wave-6,,True,1,0.07,17.773862652939997,0.0906459528409546,bachelor,6,0.1,male,326,13,5c50046b2b89f500015e5f6b,0.1,3797,1,20,67,1,,true,170.079,224.730,434.842,362.857,3.452,226.395
25-34,2,397.551,0.07,Hue-5 with Wave-6,,True,1,0.07,17.773862652939997,0.2000137570506097,bachelor,6,0.2,male,89,3,5c50046b2b89f500015e5f6b,0.2,16285,2,21,67,1,,true,170.079,224.730,434.842,362.857,3.452,226.395
25-34,2,397.551,0.14,Hue-5 with Wave-6,,True,1,0.07,17.773862652939997,0.2905225512056009,bachelor,6,0.3,male,162,5,5c50046b2b89f500015e5f6b,0.3,3047,2,22,67,1,,true,170.079,224.730,434.842,362.857,3.452,226.395
25-34,2,397.551,0.07,Hue-5 with Wave-6,,True,1,0.07,17.773862652939997,0.2075461332344548,bachelor,6,0.2,male,201,7,5c50046b2b89f500015e5f6b,0.2,4664,4,23,67,1,,true,170.079,224.730,434.842,362.857,3.452,226.395
25-34,2,397.551,0.1,Hue-5 with Wave-6,,True,1,0.07,17.773862652939997,0.2554535431029699,bachelor,6,0.25,male,208,7,5c50046b2b89f500015e5f6b,0.25,2374,2,24,67,1,,true,170.079,224.730,434.842,362.857,3.452,226.395
25-34,3,616.244,0.1,Hue-5 with Wave-9,,True,1,0.07,17.773862652939997,0.2537301826225767,bachelor,6,0.25,male,238,9,5c50046b2b89f500015e5f6b,0.25,3376,1,26,67,1,,true,188.552,205.681,660.837,369.667,3.672,374.303
25-34,3,616.244,0.05,Hue-5 with Wave-9,,True,0,0.07,17.773862652939997,0.1507733410196672,bachelor,6,0.15,male,96,2,5c50046b2b89f500015e5f6b,0.15,6668,3,27,67,1,,true,188.552,205.681,660.837,369.667,3.672,374.303
25-34,3,616.244,0.1,Hue-5 with Wave-9,,True,1,0.07,17.773862652939997,0.2528614535227623,bachelor,6,0.25,male,230,8,5c50046b2b89f500015e5f6b,0.25,3698,1,28,67,1,,true,188.552,205.681,660.837,369.667,3.672,374.303
25-34,3,616.244,0.165,Hue-5 with Wave-9,,True,1,0.07,17.773862652939997,0.3447845601244605,bachelor,6,0.35,male,174,5,5c50046b2b89f500015e5f6b,0.35,7546,4,29,67,1,,true,188.552,205.681,660.837,369.667,3.672,374.303
25-34,3,616.244,0.03,Hue-5 with Wave-9,,True,1,0.07,17.773862652939997,0.1002790469958532,bachelor,6,0.1,male,87,1,5c50046b2b89f500015e5f6b,0.1,48995,1,30,67,1,,true,188.552,205.681,660.837,369.667,3.672,374.303
25-34,3,616.244,0.07,Hue-5 with Wave-9,,True,1,0.07,17.773862652939997,0.1905723091854132,bachelor,6,0.2,male,197,8,5c50046b2b89f500015e5f6b,0.2,2631,1,31,67,1,,true,188.552,205.681,660.837,369.667,3.672,374.303
